timestamp,open,high,low,close,volume
2023-01-03T00:00:00+00:00,100.0,101.2,98.8,100.0,200000
2023-01-04T00:00:00+00:00,100.13,101.34,98.93,100.13,200000
2023-01-05T00:00:00+00:00,100.39,101.6,99.19,100.39,200000
2023-01-06T00:00:00+00:00,100.75,101.95,99.54,100.75,200000
2023-01-09T00:00:00+00:00,101.17,102.38,99.95,101.17,200000
2023-01-10T00:00:00+00:00,101.61,102.83,100.39,101.61,200000
2023-01-11T00:00:00+00:00,102.05,103.28,100.83,102.05,200000
2023-01-12T00:00:00+00:00,102.44,103.67,101.21,102.44,200000
2023-01-13T00:00:00+00:00,102.76,104.0,101.53,102.76,200000
2023-01-16T00:00:00+00:00,102.99,104.23,101.76,102.99,200000
2023-01-17T00:00:00+00:00,103.12,104.36,101.89,103.12,200000
2023-01-18T00:00:00+00:00,103.17,104.4,101.93,103.17,200000
2023-01-19T00:00:00+00:00,103.14,104.38,101.9,103.14,200000
2023-01-20T00:00:00+00:00,103.07,104.31,101.83,103.07,200000
2023-01-23T00:00:00+00:00,102.99,104.23,101.76,102.99,200000
2023-01-24T00:00:00+00:00,102.95,104.19,101.72,102.95,200000
2023-01-25T00:00:00+00:00,102.98,104.22,101.75,102.98,200000
2023-01-26T00:00:00+00:00,103.11,104.35,101.87,103.11,200000
2023-01-27T00:00:00+00:00,103.36,104.61,102.12,103.36,200000
2023-01-30T00:00:00+00:00,103.75,105.0,102.51,103.75,200000
2023-01-31T00:00:00+00:00,104.27,105.52,103.02,104.27,200000
2023-02-01T00:00:00+00:00,104.9,106.16,103.64,104.9,200000
2023-02-02T00:00:00+00:00,105.63,106.9,104.36,105.63,200000
2023-02-03T00:00:00+00:00,106.41,107.69,105.14,106.41,200000
2023-02-06T00:00:00+00:00,107.22,108.5,105.93,107.22,200000
2023-02-07T00:00:00+00:00,108.0,109.3,106.71,108.0,200000
2023-02-08T00:00:00+00:00,108.74,110.04,107.43,108.74,200000
2023-02-09T00:00:00+00:00,109.39,110.7,108.08,109.39,200000
2023-02-10T00:00:00+00:00,109.94,111.26,108.63,109.94,200000
2023-02-13T00:00:00+00:00,110.4,111.73,109.08,110.4,200000
2023-02-14T00:00:00+00:00,110.77,112.1,109.44,110.77,200000
2023-02-15T00:00:00+00:00,111.06,112.4,109.73,111.06,200000
2023-02-16T00:00:00+00:00,111.32,112.66,109.98,111.32,200000
2023-02-17T00:00:00+00:00,111.57,112.91,110.23,111.57,200000
2023-02-20T00:00:00+00:00,111.86,113.2,110.52,111.86,200000
2023-02-21T00:00:00+00:00,112.22,113.56,110.87,112.22,200000
2023-02-22T00:00:00+00:00,112.67,114.03,111.32,112.67,200000
2023-02-23T00:00:00+00:00,113.25,114.61,111.89,113.25,200000
2023-02-24T00:00:00+00:00,113.96,115.33,112.59,113.96,200000
2023-02-27T00:00:00+00:00,114.79,116.17,113.42,114.79,200000
2023-02-28T00:00:00+00:00,115.74,117.12,114.35,115.74,200000
2023-03-01T00:00:00+00:00,116.76,118.16,115.36,116.76,200000
2023-03-02T00:00:00+00:00,117.83,119.24,116.41,117.83,200000
2023-03-03T00:00:00+00:00,118.91,120.33,117.48,118.91,200000
2023-03-06T00:00:00+00:00,119.96,121.39,118.52,119.96,200000
2023-03-07T00:00:00+00:00,120.94,122.39,119.49,120.94,200000
